SUBSCRIPTION_DATE,SUBSCRIPTION_COUNTY,SUBSCRIBER_DOMESTIC_FOREIGN,LONGITUDE,LATITUDE,NUMBER_OF_SUBSCRIBER
2020-11-06,BEŞİKTAŞ,Yerli,29.02574,41.04744,2
2021-04-22,FATİH,Yabancı,28.973976,41.017609,8
2021-05-04,FATİH,Yerli,28.951463,41.030498,2
2020-12-15,KADIKÖY,Yerli,29.02399,40.99213,4
2021-07-02,BAHÇELİEVLER,Yerli,28.835378,40.992755,1
2019-12-19,ŞİŞLİ,Yerli,28.981998,41.068341,1
2020-12-03,FATİH,Yerli,28.97389,41.01758,1
2021-07-03,FATİH,Yabancı,28.962793,41.002499,3
2021-03-02,BEYOĞLU,Yerli,28.97478,41.02224,2
2018-12-02,GAZİOSMANPAŞA,Yerli,28.912558,41.06034,1
2021-06-26,KÜÇÜKÇEKMECE,Yabancı,28.767776,41.001919,3
2021-06-29,KARTAL,Yerli,29.146659,40.901284,1
2021-02-09,FATİH,Yabancı,28.97025,41.01757,4
2021-05-07,SULTANBEYLİ,Yerli,29.258734,40.968617,2
2019-01-10,EYÜP SULTAN,Yerli,28.948922,41.082908,1
2021-02-11,ŞİŞLİ,Yabancı,28.99246,41.06409,2
2021-01-05,KÜÇÜKÇEKMECE,Yerli,28.75983,41.0536,2
2021-02-26,ESENLER,Yerli,28.88197,41.03834,6
2021-04-07,GÜNGÖREN,Yerli,28.8977,41.00788,4
2021-03-02,KÜÇÜKÇEKMECE,Yerli,28.79624,41.04477,2
2021-06-04,EYÜPSULTAN,Yerli,28.944987,41.087819,6
2020-11-01,FATİH,Yerli,28.96677,41.00919,6
2021-02-02,BEYOĞLU,Yabancı,28.97478,41.02224,3
2021-07-02,ŞİLE,Yerli,29.798666,41.075095,1
2021-07-11,FATİH,Yabancı,28.97256,41.010197,1
2020-12-31,FATİH,Yabancı,28.97778,41.00683,51
2019-05-24,KÜÇÜKÇEKMECE,Yerli,28.788922,40.987307,1
2021-05-20,FATİH,Yerli,28.932298,41.048105,6
2018-04-25,SANCAKTEPE,Yerli,29.233057,40.978484,1
2021-06-25,SARIYER,Yabancı,29.053011,41.108199,5
2020-12-28,PENDİK,Yabancı,29.31137,40.93897,1
2021-02-22,KAĞITHANE,Yerli,28.97888,41.0696,5
2021-05-06,ÜSKÜDAR,Yerli,29.053364,41.050219,2
2021-02-16,BAHÇELİEVLER,Yerli,28.81876,41.01285,2
2019-09-12,FATİH,Yerli,28.945011,41.009663,2
2021-02-25,FATİH,Yabancı,28.97397,41.0176,1
2020-11-13,FATİH,Yabancı,28.97549,41.0081,8
2021-07-03,FATİH,Yabancı,28.956406,41.014892,1
2021-05-16,FATİH,Yabancı,28.977784,41.00683,64
2020-11-29,FATİH,Yabancı,28.96677,41.00919,11
2018-05-04,BAKIRKÖY,Yerli,28.820556,40.978551,2
2021-06-14,BEYOĞLU,Yerli,28.985969,41.036929,2
2020-12-18,EYÜPSULTAN,Yerli,28.93199,41.02881,1
2021-07-03,FATİH,Yabancı,28.97821,41.011816,6
2021-06-15,ÜSKÜDAR,Yerli,29.074823,41.012278,1
2021-05-26,ŞİŞLİ,Yabancı,28.987285,41.060332,1
2020-12-31,FATİH,Yabancı,28.97821,41.01181,2
2019-02-24,KARTAL,Yerli,29.18905,40.90657,1
2021-05-17,ÇEKMEKÖY,Yerli,29.190271,41.014079,2
2018-03-09,BAKIRKÖY,Yerli,28.820556,40.978551,3
2021-07-07,FATİH,Yerli,28.966282,41.009331,10
2021-05-09,BEYOĞLU,Yabancı,28.974782,41.022246,10
2021-04-27,BEYOĞLU,Yerli,28.976831,41.051604,2
2021-06-05,BAKIRKÖY,Yerli,28.858946,40.975509,17
2021-05-19,BEYKOZ,Yerli,29.073978,41.104805,2
2020-11-01,BAKIRKÖY,Yerli,28.80753,40.96024,7
2021-06-21,FATİH,Yerli,28.93176,41.02556,2
2020-11-05,FATİH,Yabancı,28.97292,41.0182,5
2018-08-27,EYÜP SULTAN,Yerli,28.933511,41.047359,10
2021-01-29,BEYOĞLU,Yerli,28.969,41.02396,4
2021-07-15,BAKIRKÖY,Yerli,28.80068,40.963136,4
2021-01-12,FATİH,Yerli,28.95117,41.00012,1
2021-07-04,ESENLER,Yerli,28.881976,41.038348,18
2020-02-19,SARIYER,Yerli,29.055617,41.143438,1
2021-05-08,GAZİOSMANPAŞA,Yerli,28.919846,41.058001,4
2021-05-31,EYÜPSULTAN,Yabancı,28.932578,41.053734,2
2017-10-19,EYÜP SULTAN,Yerli,28.948922,41.082908,2
2021-04-24,ŞİŞLİ,Yabancı,28.992465,41.064094,2
2021-03-05,KADIKÖY,Yerli,29.05788,40.97088,1
2021-07-06,SANCAKTEPE,Yerli,29.229558,40.992531,3
2018-11-24,BAKIRKÖY,Yabancı,28.820556,40.978551,1
2021-01-14,ÜSKÜDAR,Yerli,29.011697,41.01211,3
2021-05-05,BEYOĞLU,Yerli,28.985666,41.037058,10
2021-07-06,ZEYTİNBURNU,Yerli,28.929394,41.024776,3
2021-04-20,ŞİŞLİ,Yerli,28.992465,41.064094,20
2021-02-18,BEŞİKTAŞ,Yerli,29.00767,41.05983,1
2020-11-05,FATİH,Yabancı,28.97352,41.01751,3
2021-03-05,ARNAVUTKÖY,Yerli,28.75104,41.17954,1
2021-04-11,BEŞİKTAŞ,Yabancı,29.00736,41.04121,8
2021-05-22,ÜSKÜDAR,Yerli,29.011697,41.01211,4
2018-07-23,KARTAL,Yerli,29.189967,40.892454,1
2021-01-29,AVCILAR,Yerli,28.71296,40.99353,1
2021-07-09,ÜSKÜDAR,Yerli,29.069071,41.027853,10
2020-12-03,SİLİVRİ,Yerli,28.25016,41.07324,1
2021-07-09,ŞİŞLİ,Yerli,28.994942,41.065278,2
2020-12-31,ÇATALCA,Yerli,28.45338,41.22773,1
2018-08-08,KARTAL,Yerli,29.189967,40.892454,8
2020-12-09,SULTANGAZİ,Yerli,28.86087,41.1057,1
2021-06-24,ŞİLE,Yerli,29.471361,41.187223,2
2021-02-04,ZEYTİNBURNU,Yerli,28.90399,40.99453,2
2020-11-23,BAŞAKŞEHİR,Yerli,28.80075,41.10402,1
2021-05-24,GAZİOSMANPAŞA,Yerli,28.902185,41.061599,4
2021-02-25,KADIKÖY,Yerli,29.02399,40.99213,11
2019-05-07,KARTAL,Yerli,29.189967,40.892454,3
2018-09-25,BAKIRKÖY,Yerli,28.820556,40.978551,1
2019-10-17,EYÜP SULTAN,Yerli,28.926066,41.083861,3
2021-03-06,GÜNGÖREN,Yerli,28.86374,41.02371,1
2021-05-25,ESENLER,Yerli,28.867578,41.054031,1
2021-03-29,FATİH,Yabancı,28.97292,41.0182,12
2018-01-21,BEYOĞLU,Yerli,28.989684,41.031331,1
2021-07-11,ARNAVUTKÖY,Yerli,28.612294,41.310704,1
2021-02-11,BAŞAKŞEHİR,Yerli,28.80125,41.1075,1
2021-06-18,BEŞİKTAŞ,Yerli,29.025741,41.047446,4
2020-11-13,KADIKÖY,Yerli,29.05554,40.99845,2
2021-05-27,EYÜPSULTAN,Yerli,28.88337,41.162284,1
2019-05-16,KAĞITHANE,Yerli,28.922037,41.004253,1
2021-02-05,FATİH,Yerli,28.94026,41.0118,1
2018-08-09,BEYOĞLU,Yerli,28.989684,41.031331,1
2021-02-21,FATİH,Yerli,28.94026,41.0118,1
2021-04-17,BAĞCILAR,Yerli,28.860657,41.03274,4
2015-12-02,KADIKÖY,Yerli,29.023297,40.593952,2
2021-06-23,ÜSKÜDAR,Yerli,29.020952,41.008899,1
2021-06-12,MALTEPE,Yabancı,29.121198,40.924531,2
2020-11-16,ZEYTİNBURNU,Yerli,28.89022,41.00148,1
2021-04-08,BAŞAKŞEHİR,Yerli,28.80074,41.07407,2
2019-10-16,ŞİŞLİ,Yerli,28.989035,41.057795,1
2021-05-17,BAYRAMPAŞA,Yerli,28.886847,41.064818,2
2021-06-16,MALTEPE,Yerli,29.10161,40.947455,1
2021-05-24,KADIKÖY,Yerli,29.08863,40.954044,1
2021-05-20,KARTAL,Yerli,29.188055,40.912915,4
2019-10-07,AVCILAR,Yerli,28.705535,40.995034,1
2020-12-11,KADIKÖY,Yabancı,29.02325,40.9927,4
2019-09-28,BAKIRKÖY,Yerli,28.884828,40.999602,1
2021-01-05,KAĞITHANE,Yerli,28.9942,41.10119,1
2020-12-11,FATİH,Yerli,28.94026,41.0118,1
2020-12-07,FATİH,Yabancı,28.951,41.01654,1
2021-05-25,BAYRAMPAŞA,Yerli,28.907544,41.056851,1
2018-05-20,BÜYÜKÇEKMECE,Yerli,28.46788,41.03992,1
2021-03-01,FATİH,Yerli,28.97256,41.01019,1
2018-11-15,EYÜP SULTAN,Yerli,28.921595,41.080995,1
2020-11-16,BEYKOZ,Yerli,29.09185,41.1341,1
2018-03-04,EYÜP SULTAN,Yerli,28.926066,41.083861,2
2017-04-19,KADIKÖY,Yerli,29.023297,40.593952,1
2018-03-20,EYÜP SULTAN,Yerli,28.926066,41.083861,4
2021-02-13,KARTAL,Yerli,29.18304,40.91249,1
2018-10-03,FATİH,Yerli,28.941171,41.017758,1
2021-06-04,BEYKOZ,Yerli,29.131822,41.207132,1
2021-07-03,ARNAVUTKÖY,Yerli,28.751046,41.179543,2
2019-02-22,BAŞAKŞEHİR,Yerli,28.76499,41.08854,1
2021-07-02,BAHÇELİEVLER,Yerli,28.843902,41.007323,1
2021-01-08,KADIKÖY,Yerli,29.05554,40.99845,1
2020-10-31,SANCAKTEPE,Yerli,29.24496,41.01475,2
2021-04-05,EYÜPSULTAN,Yabancı,28.94498,41.08781,2
2021-04-14,FATİH,Yabancı,28.970257,41.017572,22
2021-04-18,FATİH,Yerli,28.951006,41.01654,4
2021-05-04,FATİH,Yerli,28.951006,41.01654,2
2021-02-11,ÜMRANİYE,Yerli,29.15253,41.03423,2
2021-05-11,SANCAKTEPE,Yerli,29.196707,41.00534,26
2019-10-14,KARTAL,Yerli,29.161455,40.905838,3
2020-11-14,BEYOĞLU,Yabancı,28.97738,41.03345,34
2021-07-13,SULTANGAZİ,Yerli,28.876316,41.107116,4
2020-12-28,KAĞITHANE,Yerli,28.97888,41.0696,4
2021-04-26,FATİH,Yerli,28.953944,41.009543,8
2020-10-31,ZEYTİNBURNU,Yerli,28.9037,40.99017,9
2019-05-17,ŞİŞLİ,Yerli,28.981998,41.068341,4
2018-03-16,SANCAKTEPE,Yerli,29.233057,40.978484,3
2021-03-01,FATİH,Yerli,28.9564,41.01489,1
2020-11-02,BEYOĞLU,Yerli,28.98943,41.03148,1
2021-05-27,ZEYTİNBURNU,Yerli,28.9037,40.990178,9
2021-07-10,ZEYTİNBURNU,Yabancı,28.9037,40.990178,4
2021-04-19,KÜÇÜKÇEKMECE,Yerli,28.780627,40.988449,2
2021-06-11,SULTANGAZİ,Yerli,28.876702,41.097747,3
2021-04-02,BAKIRKÖY,Yerli,28.80794,40.96219,2
2021-07-17,ÜSKÜDAR,Yerli,29.051149,41.046827,1
2020-01-03,BEYOĞLU,Yerli,28.94027,41.04725,2
2021-02-28,BAĞCILAR,Yerli,28.86065,41.03274,1
2020-11-01,FATİH,Yerli,28.95976,41.00956,3
2021-07-14,EYÜPSULTAN,Yerli,28.931995,41.028811,1
2017-01-18,KAĞITHANE,Yerli,28.573054,41.035648,1
2021-07-08,AVCILAR,Yerli,28.706011,40.995149,2
2021-05-05,BEŞİKTAŞ,Yabancı,29.015456,41.049054,2
2018-04-21,EYÜP SULTAN,Yerli,28.933511,41.047359,14
2021-02-01,FATİH,Yabancı,28.92595,40.99048,1
2019-07-14,BAKIRKÖY,Yabancı,28.820556,40.978551,1
2020-02-29,ŞİŞLİ,Yerli,28.981998,41.068341,1
2021-06-22,BEŞİKTAŞ,Yabancı,29.025741,41.047446,3
2020-10-28,FATİH,Yabancı,28.938473,41.012684,3
2020-10-29,ÇEKMEKÖY,Yerli,29.190271,41.014079,1
2020-11-25,FATİH,Yerli,28.94929,41.01124,3
2019-09-29,AVCILAR,Yerli,28.731161,40.980151,1
2021-01-15,MALTEPE,Yerli,29.15512,40.93462,1
2021-07-02,SULTANBEYLİ,Yerli,29.276736,40.954095,4
2020-10-29,BAYRAMPAŞA,Yerli,28.88684,41.06481,1
2020-11-10,BEŞİKTAŞ,Yabancı,29.02574,41.04744,3
2020-01-11,KÜÇÜKÇEKMECE,Yerli,28.796872,41.044715,3
2019-05-13,BAŞAKŞEHİR,Yerli,29.011473,41.080041,1
2020-12-02,ZEYTİNBURNU,Yerli,28.92165,41.02206,1
2021-07-19,FATİH,Yabancı,28.973976,41.017609,2
2021-06-11,ÜSKÜDAR,Yabancı,29.014881,41.027275,4
2021-06-08,BAHÇELİEVLER,Yerli,28.863467,40.995052,1
2021-01-04,FATİH,Yerli,28.951,41.01654,8
2021-07-15,FATİH,Yerli,28.98077,41.014188,1
2019-08-14,EYÜP SULTAN,Yerli,28.948922,41.082908,2
2021-05-17,BEYOĞLU,Yabancı,28.992646,41.034326,2
2020-11-18,KÜÇÜKÇEKMECE,Yerli,28.76777,41.00191,3
2021-07-03,FATİH,Yabancı,28.932298,41.048105,2
2021-02-01,ATAŞEHİR,Yerli,29.10319,40.97979,1
2021-02-20,EYÜPSULTAN,Yerli,28.92342,41.03697,1
2021-05-10,SULTANGAZİ,Yerli,28.858182,41.111189,2
2021-07-17,ŞİŞLİ,Yerli,28.990258,41.048207,1
2020-11-05,FATİH,Yabancı,28.97389,41.01758,2
2020-12-11,FATİH,Yerli,28.95394,41.00954,1
2018-05-23,MALTEPE,Yerli,29.121198,40.924531,19
2020-11-27,ESENYURT,Yerli,29.16611,40.92091,1
2021-04-14,FATİH,Yabancı,28.954114,41.015525,2
2020-12-08,PENDİK,Yerli,29.25202,40.89103,1
2021-02-17,FATİH,Yabancı,28.92595,40.99048,1
2021-02-17,KADIKÖY,Yerli,29.06317,40.99537,1
2021-07-07,FATİH,Yerli,28.975497,41.0081,1
2021-04-29,ZEYTİNBURNU,Yabancı,28.888716,41.000016,2
2021-07-05,ŞİŞLİ,Yabancı,28.992465,41.064094,3
2021-01-26,SULTANGAZİ,Yerli,28.87652,41.09806,1
2020-11-05,BAKIRKÖY,Yabancı,28.80753,40.96024,2
2021-02-07,ADALAR,Yerli,29.12765,40.87441,1
2021-04-10,FATİH,Yerli,28.97292,41.0182,10
2021-06-01,GAZİOSMANPAŞA,Yerli,28.897455,41.068858,5
2021-07-11,BAKIRKÖY,Yabancı,28.807347,40.960824,2
2019-10-23,AVCILAR,Yerli,28.705535,40.995034,1
2019-12-12,EYÜP SULTAN,Yerli,28.926066,41.083861,1
2020-11-19,ÜSKÜDAR,Yerli,29.0679,41.0274,1
2021-02-04,EYÜPSULTAN,Yerli,28.92817,41.03368,1
2021-07-11,SARIYER,Yabancı,29.053011,41.108199,4
2021-07-13,SULTANGAZİ,Yerli,28.860871,41.105707,1
2018-08-23,İSTANBUL,Yabancı,28.58272,41.01418,2
2020-11-27,ŞİŞLİ,Yerli,28.98871,41.04638,2
2018-05-27,BAĞCILAR,Yerli,28.870054,41.033384,6
2021-04-27,BEYOĞLU,Yerli,28.989436,41.031482,2
2020-12-29,ESENYURT,Yerli,28.63119,41.03404,1
2021-07-01,ÜSKÜDAR,Yerli,29.026143,41.032534,4
2021-06-28,EYÜPSULTAN,Yerli,28.930938,41.02949,1
2019-04-15,ŞİŞLİ,Yerli,29.011473,41.080041,2
2021-07-08,KAĞITHANE,Yerli,28.982117,41.085679,1
2019-03-13,KÜÇÜKÇEKMECE,Yerli,28.796872,41.044715,5
2020-11-06,GÜNGÖREN,Yerli,28.87721,41.01552,1
2017-09-22,KARTAL,Yerli,29.187151,40.888024,1
2021-06-25,FATİH,Yabancı,28.971066,41.016151,3
2021-02-13,FATİH,Yerli,28.97778,41.00683,2
2020-10-31,SANCAKTEPE,Yerli,29.1967,41.00534,14
2021-07-15,FATİH,Yerli,28.932298,41.048105,2
2021-01-21,BEYOĞLU,Yerli,28.99264,41.03432,1
2018-03-20,EYÜP SULTAN,Yerli,28.933511,41.047359,1
